race_id,athlete_id,sex,age,height,weight,reaction_time,lane,temperature,humidity,wind_speed,wind_direction,altitude,track_condition,season,sprint_time
R001,A0190,male,29.3,177.1,67.8,0.166,2,25.7,46.6,0.78,south,200,dry,spring,9.915
R001,A0102,female,21.7,180.9,61.1,0.145,8,20.3,77.6,1.17,east,100,dry,spring,11.145
R001,A0156,male,29.6,184.4,73.2,0.152,3,23.7,51.3,0.49,nw,1200,synthetic,summer,9.924
R001,A0164,male,22.6,178.6,70.0,0.187,2,21.6,89.5,1.33,south,50,dry,autumn,9.911
R001,A0210,male,23.9,177.7,82.1,0.148,6,20.0,86.6,0.03,south,1200,dry,autumn,10.161
R001,A0237,male,22.4,177.7,79.2,0.154,8,22.1,60.9,0.01,south,1200,wet,summer,9.977
R001,A0005,male,18.0,187.8,73.8,0.193,1,23.3,48.7,-0.1,se,100,synthetic,spring,10.14
R001,A0246,female,22.3,173.2,63.8,0.149,5,18.4,58.6,-0.95,north,800,dry,spring,11.53
R002,A0143,male,30.5,177.8,77.3,0.164,7,20.2,69.8,-0.58,sw,0,dry,autumn,9.972
R002,A0091,male,21.5,180.7,73.9,0.186,2,19.8,71.1,1.15,east,100,dry,autumn,9.995
R002,A0237,male,22.4,177.7,79.2,0.178,4,17.8,67.2,-0.22,ne,0,dry,spring,10.073
R002,A0090,male,25.8,174.9,77.9,0.169,7,20.2,48.5,1.43,west,1600,dry,autumn,10.072
R002,A0162,female,24.8,172.2,59.6,0.178,2,20.4,60.2,-0.27,sw,1600,dry,spring,11.576
R002,A0209,male,25.2,188.4,75.1,0.169,6,20.4,43.7,0.17,north,50,dry,spring,10.056
R002,A0262,female,19.2,168.7,62.8,0.178,6,26.1,66.7,-0.24,ne,50,dry,summer,11.331
R002,A0197,female,21.4,162.0,64.4,0.194,4,20.0,36.8,1.76,ne,50,dry,autumn,11.717
R002,A0273,female,21.7,173.0,52.4,0.158,3,17.7,48.2,0.49,se,200,synthetic,autumn,11.053
R002,A0100,male,21.3,189.4,66.2,0.205,6,25.1,84.5,-1.67,south,0,dry,summer,10.268
R002,A0239,female,25.1,167.1,62.4,0.173,6,18.6,84.9,0.05,west,100,dry,spring,11.369
R002,A0136,male,24.0,189.0,77.6,0.16,6,28.1,86.4,-0.23,east,50,dry,summer,9.909
R002,A0146,male,24.6,167.9,80.8,0.194,6,18.5,59.4,1.21,nw,0,synthetic,spring,10.04
R002,A0108,female,19.1,176.1,59.2,0.167,8,26.4,81.4,0.28,sw,100,dry,summer,10.943
R002,A0106,male,23.0,183.5,72.3,0.164,7,24.5,54.0,-0.62,nw,800,dry,spring,10.365
R002,A0267,female,23.1,174.0,59.3,0.144,7,26.5,58.7,-1.23,east,1200,dry,summer,11.634
R002,A0256,male,20.8,181.2,76.0,0.166,7,17.6,66.1,0.31,se,400,synthetic,autumn,9.955
R002,A0127,female,23.6,164.5,61.2,0.168,1,23.1,44.0,1.49,east,0,synthetic,spring,11.296
R002,A0064,male,21.9,183.2,85.0,0.168,4,18.8,35.5,-1.25,east,0,dry,spring,10.147
R002,A0188,male,24.2,182.1,80.7,0.171,7,27.1,50.1,0.4,east,200,heavy,summer,10.082
R002,A0012,female,27.3,168.6,64.6,0.168,5,25.6,52.5,-0.51,west,800,synthetic,summer,11.087
R002,A0175,female,19.2,168.1,53.7,0.157,5,12.0,53.4,-0.34,west,200,dry,autumn,12.085
R002,A0027,male,25.3,177.2,81.4,0.201,5,24.1,54.1,0.31,south,100,wet,autumn,10.128
R002,A0221,female,20.1,170.7,56.4,0.19,1,23.2,41.7,-0.98,east,100,dry,summer,11.887
R002,A0288,male,26.3,185.3,72.8,0.175,4,15.7,75.6,-0.3,ne,0,dry,autumn,9.837
R002,A0147,female,25.8,169.0,53.3,0.144,2,23.7,62.9,-0.63,se,50,dry,spring,11.019
R002,A0194,female,22.4,158.1,56.3,0.181,4,30.4,46.1,0.19,ne,100,dry,summer,11.522
R002,A0095,female,20.0,168.2,55.6,0.188,4,22.8,70.9,-0.03,ne,400,dry,summer,11.439
R002,A0195,male,21.1,180.2,72.8,0.184,1,32.0,72.5,1.37,west,0,dry,summer,10.409
R002,A0042,male,24.0,176.3,75.1,0.164,2,16.5,41.7,0.55,south,0,wet,spring,10.109
R002,A0012,female,27.3,168.6,64.6,0.184,4,26.0,39.5,-0.02,south,800,dry,summer,11.166
R002,A0159,male,21.3,181.0,69.6,0.137,8,22.8,67.6,-0.38,west,200,dry,autumn,9.785
R002,A0150,male,22.2,182.1,80.7,0.187,4,17.0,63.9,0.93,sw,1600,wet,spring,9.932
R002,A0018,male,25.2,177.3,75.1,0.165,6,29.5,39.5,-0.73,ne,200,wet,summer,10.251
R002,A0087,female,24.4,163.8,59.2,0.184,7,24.4,40.2,-0.34,north,100,dry,summer,11.428
R002,A0104,male,23.6,177.5,67.0,0.17,8,21.9,35.7,-0.29,east,50,dry,spring,9.996
R002,A0251,male,19.2,178.4,70.5,0.142,7,19.4,79.7,0.83,se,50,wet,autumn,10.3
R002,A0129,male,25.6,183.2,74.9,0.131,5,26.9,64.3,0.25,south,0,synthetic,summer,9.77
R002,A0111,male,24.7,183.3,83.3,0.174,4,30.4,67.6,-0.03,sw,0,wet,summer,10.196
R002,A0212,female,23.1,174.0,58.6,0.192,4,20.6,62.5,0.33,nw,0,heavy,autumn,11.28
R003,A0052,female,29.8,160.1,63.0,0.221,4,25.1,47.4,0.63,sw,1600,dry,summer,11.18
R003,A0137,male,24.3,179.8,67.2,0.135,6,23.5,47.9,2.05,south,50,synthetic,spring,9.818
R003,A0230,female,23.4,170.9,61.1,0.182,6,23.7,84.1,0.12,se,200,dry,summer,11.32
R003,A0140,female,18.0,171.0,59.1,0.183,7,25.9,77.2,-0.14,nw,50,synthetic,summer,11.921
R003,A0122,female,19.7,169.9,63.7,0.17,3,27.7,88.3,-0.88,south,800,dry,summer,11.188
R003,A0208,female,26.0,168.9,60.4,0.159,7,20.9,35.0,-0.03,east,200,dry,spring,11.29
R003,A0217,male,22.5,187.4,80.9,0.153,4,20.2,43.3,0.12,south,50,dry,autumn,9.977
R003,A0004,male,25.9,181.2,76.4,0.175,3,25.5,83.0,1.07,east,0,dry,autumn,10.532
R003,A0283,male,22.3,180.8,72.3,0.155,8,26.2,83.3,-0.26,east,0,dry,summer,10.312
R003,A0039,female,23.1,171.8,60.2,0.174,1,25.1,78.5,-0.91,west,800,heavy,summer,11.416
R003,A0087,female,24.4,163.8,59.2,0.174,1,31.6,79.1,-1.42,east,100,dry,summer,11.632
R003,A0229,female,21.3,167.9,59.8,0.167,4,14.4,83.1,1.04,west,800,dry,autumn,10.962
R003,A0172,male,24.1,176.8,71.0,0.165,3,22.5,56.1,0.19,ne,1200,synthetic,spring,9.662
R003,A0210,male,23.9,177.7,82.1,0.14,8,17.7,47.0,0.01,se,200,heavy,spring,10.337
R003,A0167,male,23.7,177.1,75.1,0.156,3,28.7,66.4,-1.15,ne,800,synthetic,summer,10.019
R003,A0251,male,19.2,178.4,70.5,0.137,6,26.7,44.0,-0.72,east,400,dry,summer,10.382
R003,A0077,female,18.0,161.0,53.7,0.173,5,18.0,45.7,0.52,se,100,dry,autumn,11.412
R003,A0195,male,21.1,180.2,72.8,0.171,4,20.6,37.7,0.06,se,400,synthetic,autumn,10.314
R003,A0001,male,24.1,175.0,79.3,0.171,1,23.5,59.8,2.03,south,0,dry,summer,10.043
R003,A0279,female,22.4,174.6,53.6,0.151,4,20.0,42.8,0.12,ne,0,dry,autumn,11.41
R003,A0179,female,23.6,167.9,66.9,0.201,8,25.6,70.9,1.31,west,50,dry,summer,11.407
R003,A0094,male,20.4,172.4,80.4,0.166,1,23.2,67.3,0.46,ne,100,synthetic,summer,10.148
R003,A0203,male,28.5,177.6,73.3,0.176,7,22.6,87.9,-1.0,ne,0,dry,autumn,9.962
R003,A0275,male,22.2,183.1,78.4,0.176,8,25.3,66.8,1.44,east,100,dry,summer,10.171
R003,A0080,male,27.3,181.1,74.0,0.158,8,30.4,38.3,1.77,west,200,dry,summer,9.961
R003,A0158,female,24.3,157.2,59.9,0.184,8,15.3,71.1,-0.66,se,200,dry,autumn,10.898
R003,A0170,male,22.2,184.6,81.9,0.184,5,27.1,53.2,-0.1,ne,200,heavy,summer,10.188
R003,A0177,female,18.0,173.4,55.2,0.187,5,18.4,68.0,-1.41,north,0,dry,spring,11.049
R003,A0038,male,24.4,190.1,77.2,0.187,5,18.0,42.1,-0.28,ne,100,dry,spring,10.361
R003,A0237,male,22.4,177.7,79.2,0.195,3,16.0,62.2,0.77,nw,200,synthetic,spring,9.962
R003,A0025,male,27.8,175.8,78.8,0.148,5,19.4,44.9,0.74,south,0,heavy,autumn,9.907
R003,A0134,male,22.8,187.2,73.6,0.195,7,28.7,77.5,-0.73,north,0,dry,summer,10.021
R003,A0004,male,25.9,181.2,76.4,0.19,7,30.2,86.3,0.54,sw,50,dry,summer,10.775
R003,A0146,male,24.6,167.9,80.8,0.164,3,16.5,42.3,0.61,east,0,dry,autumn,10.105
R003,A0298,male,21.3,181.6,84.2,0.18,7,25.1,48.1,0.0,sw,0,dry,autumn,10.265
R003,A0296,male,24.1,176.2,79.0,0.168,1,18.4,55.6,-0.67,ne,400,wet,autumn,10.121
R003,A0130,male,28.6,186.6,71.3,0.196,3,24.8,74.9,-0.94,east,50,dry,autumn,10.24
R003,A0214,male,26.0,184.4,77.1,0.192,6,24.5,78.1,-0.57,sw,800,heavy,summer,10.218
R003,A0100,male,21.3,189.4,66.2,0.163,1,25.5,61.7,-0.16,sw,800,dry,summer,10.17
R003,A0191,male,23.3,179.9,79.6,0.147,1,19.9,50.1,0.37,nw,200,synthetic,autumn,10.197
R004,A0174,male,25.9,182.0,70.2,0.153,6,23.9,52.2,0.03,east,0,dry,summer,10.163
R004,A0184,female,26.3,161.4,57.8,0.147,3,22.8,79.2,-0.63,ne,400,wet,spring,11.456
R004,A0246,female,22.3,173.2,63.8,0.182,1,26.8,45.7,-0.04,east,800,dry,summer,11.533
R004,A0187,female,21.9,165.0,59.3,0.207,5,30.8,80.6,-0.14,west,1200,dry,summer,11.289
R004,A0095,female,20.0,168.2,55.6,0.188,7,17.3,57.4,0.3,nw,50,dry,autumn,11.434
R004,A0264,male,25.6,179.6,84.7,0.17,1,29.9,42.3,0.31,sw,50,dry,summer,10.24
R004,A0034,female,21.8,180.2,56.6,0.166,6,22.9,63.6,-1.13,nw,100,dry,summer,11.713
R004,A0209,male,25.2,188.4,75.1,0.18,1,27.3,60.7,0.98,ne,400,dry,summer,10.113
R004,A0273,female,21.7,173.0,52.4,0.161,8,23.7,52.1,0.72,north,100,synthetic,spring,11.045
R004,A0201,female,24.2,166.9,58.1,0.185,4,24.9,41.6,0.47,nw,800,wet,summer,11.385
R004,A0260,male,28.4,179.8,72.6,0.168,2,20.4,74.1,-0.2,south,0,dry,spring,10.298
R004,A0182,male,27.8,176.6,74.6,0.171,4,32.7,63.0,-0.54,se,400,wet,summer,10.138
R004,A0071,female,25.6,168.6,57.2,0.193,7,27.7,89.6,-1.46,west,800,dry,summer,11.338
R004,A0298,male,21.3,181.6,84.2,0.172,7,18.4,80.5,0.93,nw,1600,synthetic,spring,10.101
R004,A0083,male,27.9,179.5,74.6,0.167,1,24.3,88.8,-1.8,nw,100,dry,summer,10.435
R004,A0294,male,18.6,174.3,80.4,0.204,8,28.4,41.7,-0.5,sw,50,dry,summer,10.344
R004,A0061,male,22.2,185.3,72.2,0.167,7,26.0,81.0,-0.22,sw,1200,synthetic,summer,10.2
R004,A0108,female,19.1,176.1,59.2,0.165,4,15.8,65.0,-1.44,se,200,wet,spring,11.005
R004,A0150,male,22.2,182.1,80.7,0.156,3,16.0,65.1,0.38,nw,400,dry,autumn,9.952
R004,A0282,male,21.3,182.5,79.2,0.196,2,21.4,41.4,0.41,ne,0,heavy,autumn,10.238
R004,A0035,female,18.0,174.9,68.7,0.179,1,25.9,86.6,-0.3,se,400,synthetic,summer,11.231
R004,A0001,male,24.1,175.0,79.3,0.151,2,28.6,69.1,0.2,south,200,synthetic,summer,10.15
R004,A0115,female,18.0,168.2,65.1,0.152,3,22.9,68.1,-1.23,north,100,heavy,spring,11.506
R004,A0130,male,28.6,186.6,71.3,0.163,5,19.3,46.0,0.46,west,0,wet,summer,10.144
R004,A0176,male,23.6,183.2,83.1,0.164,4,17.8,43.1,-0.18,sw,100,dry,spring,10.191
R004,A0137,male,24.3,179.8,67.2,0.173,5,27.5,67.0,-0.86,south,400,dry,summer,10.122
R004,A0274,female,22.1,164.2,60.9,0.189,1,21.4,46.1,-1.45,nw,400,dry,autumn,11.354
R004,A0205,female,23.8,164.9,61.0,0.185,8,15.4,75.9,-0.18,west,100,wet,spring,11.649
R004,A0181,male,19.4,190.4,79.4,0.193,3,20.3,51.5,0.74,west,800,dry,spring,10.178
R004,A0200,female,20.1,174.1,62.0,0.163,6,19.5,75.8,0.51,sw,0,wet,autumn,11.064
R004,A0144,male,21.7,170.6,74.8,0.175,1,24.8,69.9,1.16,sw,200,dry,summer,10.427
R004,A0026,female,21.7,179.3,63.8,0.189,4,17.5,64.2,-0.23,south,1600,dry,spring,11.28
R004,A0269,male,26.8,185.0,76.8,0.189,4,30.4,63.1,1.11,sw,0,dry,summer,10.301
R004,A0130,male,28.6,186.6,71.3,0.178,6,22.0,75.2,1.38,south,800,dry,spring,10.002
R004,A0134,male,22.8,187.2,73.6,0.187,3,28.1,52.9,0.98,sw,100,synthetic,summer,9.816
R004,A0135,female,22.2,167.4,64.1,0.161,2,18.2,44.1,-1.15,se,400,dry,autumn,11.138
R004,A0149,male,21.5,183.9,76.0,0.171,6,20.2,75.6,0.18,se,1600,wet,autumn,10.028
R004,A0034,female,21.8,180.2,56.6,0.181,5,18.2,51.7,0.33,east,100,dry,spring,11.619
R004,A0214,male,26.0,184.4,77.1,0.192,7,16.0,41.7,0.2,south,200,dry,autumn,10.189
R004,A0140,female,18.0,171.0,59.1,0.159,5,20.8,63.6,0.32,south,800,dry,summer,11.837
R005,A0014,male,23.0,182.5,71.7,0.129,6,21.3,42.5,0.56,nw,1200,synthetic,autumn,10.118
R005,A0294,male,18.6,174.3,80.4,0.166,8,13.8,85.6,-0.29,south,0,wet,spring,10.419
R005,A0200,female,20.1,174.1,62.0,0.156,6,25.3,60.2,-0.75,north,100,dry,summer,11.079
R005,A0180,male,20.6,181.0,67.2,0.194,2,26.9,78.6,0.34,north,0,synthetic,summer,10.23
R005,A0175,female,19.2,168.1,53.7,0.188,5,26.8,66.8,-0.5,nw,200,dry,summer,12.078
R005,A0177,female,18.0,173.4,55.2,0.157,8,23.8,50.7,0.72,east,200,dry,autumn,10.855
R005,A0140,female,18.0,171.0,59.1,0.149,8,18.9,85.2,-0.62,ne,0,dry,autumn,11.944
R005,A0186,female,23.5,166.5,57.5,0.162,7,26.7,68.2,0.35,south,0,dry,summer,10.759
R005,A0254,male,19.7,182.2,80.9,0.188,8,21.9,70.7,-0.21,south,400,dry,autumn,10.184
R005,A0127,female,23.6,164.5,61.2,0.181,5,22.2,69.4,-0.7,west,400,dry,summer,11.401
R005,A0151,female,21.4,171.5,55.1,0.178,2,23.5,89.2,-0.09,sw,0,synthetic,summer,11.859
R005,A0300,male,19.0,182.1,73.3,0.152,2,27.2,39.8,0.06,west,100,wet,summer,10.14
R005,A0226,male,20.9,185.9,81.6,0.181,5,19.5,55.0,0.38,south,100,wet,autumn,9.965
R005,A0256,male,20.8,181.2,76.0,0.197,1,16.4,48.3,-1.46,south,50,synthetic,autumn,10.206
R005,A0215,female,23.6,155.2,61.5,0.144,6,26.1,82.8,1.22,south,400,dry,summer,10.889
R005,A0260,male,28.4,179.8,72.6,0.145,2,25.9,51.0,-0.49,sw,0,dry,summer,10.315
R005,A0273,female,21.7,173.0,52.4,0.183,7,27.4,83.6,-0.57,se,0,dry,summer,11.213
R005,A0049,male,24.3,192.6,78.6,0.168,2,26.2,55.3,0.09,sw,50,dry,summer,10.139
R005,A0080,male,27.3,181.1,74.0,0.16,1,25.7,86.6,1.56,nw,50,synthetic,summer,10.0
R005,A0242,female,25.9,159.9,60.8,0.159,5,27.3,57.9,-0.67,se,800,dry,summer,11.305
R005,A0145,male,26.6,177.7,66.9,0.193,7,25.7,45.6,0.71,nw,100,wet,summer,9.795
R005,A0266,female,25.0,163.1,56.5,0.151,5,25.8,59.8,-0.13,south,400,synthetic,summer,11.305
R005,A0030,male,23.8,172.4,68.9,0.151,8,19.7,68.3,-1.0,nw,100,dry,spring,10.133
R005,A0097,male,25.9,187.8,72.6,0.12,6,27.2,85.0,-1.5,se,50,wet,summer,10.415
R005,A0025,male,27.8,175.8,78.8,0.195,3,19.7,50.5,-0.98,ne,800,wet,autumn,10.089
R005,A0233,male,23.7,178.2,81.5,0.167,5,24.5,38.5,1.2,west,50,dry,summer,10.137
R005,A0087,female,24.4,163.8,59.2,0.164,7,20.8,72.4,0.15,nw,0,synthetic,autumn,11.339
R005,A0258,female,18.0,164.2,61.7,0.168,8,30.3,89.7,0.81,ne,1600,dry,summer,11.273
R005,A0014,male,23.0,182.5,71.7,0.139,4,20.8,42.3,-0.58,nw,400,dry,spring,10.243
R005,A0265,female,22.9,161.3,59.9,0.182,2,23.4,66.7,-0.07,east,50,wet,autumn,11.166
R005,A0047,male,24.2,179.9,70.6,0.191,6,18.6,63.2,-0.42,sw,1600,dry,spring,10.038
R005,A0254,male,19.7,182.2,80.9,0.155,4,24.1,49.4,-0.27,north,800,dry,summer,10.1
R005,A0167,male,23.7,177.1,75.1,0.163,7,13.3,63.9,-0.54,nw,50,dry,autumn,10.061
R005,A0088,female,23.7,178.7,56.1,0.212,2,20.2,35.4,0.15,west,1600,dry,spring,10.867
R005,A0017,male,29.3,176.8,81.2,0.177,3,23.5,68.4,0.88,se,100,dry,spring,9.945
R005,A0044,female,18.0,166.6,54.7,0.194,8,26.0,52.0,1.14,east,0,synthetic,summer,11.56
R005,A0004,male,25.9,181.2,76.4,0.144,4,17.0,76.8,0.84,sw,400,dry,spring,10.515
R005,A0152,male,22.4,179.8,75.3,0.153,6,17.1,38.7,0.66,nw,50,dry,autumn,10.299
R005,A0141,female,22.0,162.5,58.8,0.158,3,23.6,38.3,1.02,north,1600,heavy,summer,10.995
R005,A0022,male,27.1,185.9,88.0,0.193,2,25.2,59.5,0.81,sw,1200,synthetic,summer,10.0
R006,A0057,male,24.8,183.0,67.4,0.174,4,14.0,61.1,0.45,ne,100,wet,autumn,10.019
R006,A0162,female,24.8,172.2,59.6,0.147,1,26.9,51.3,-0.4,nw,0,dry,summer,11.675
R006,A0199,female,23.6,175.7,55.1,0.162,4,16.3,51.7,-0.15,nw,400,synthetic,spring,11.384
R006,A0072,male,25.8,186.4,75.0,0.17,8,25.2,64.1,1.89,se,800,dry,summer,10.211
R006,A0138,female,26.3,174.2,58.4,0.151,7,19.2,67.2,-0.18,south,800,dry,spring,11.198
R006,A0092,female,27.0,170.1,57.4,0.188,3,20.3,39.1,1.0,south,200,dry,autumn,11.191
R006,A0038,male,24.4,190.1,77.2,0.152,4,28.4,66.5,-2.5,sw,50,wet,summer,10.47
R006,A0011,male,25.5,174.4,75.9,0.175,3,23.2,81.0,0.85,se,50,dry,spring,9.923
R006,A0193,female,23.5,168.3,68.3,0.192,4,22.0,77.2,0.24,east,100,dry,summer,11.519
R006,A0069,male,21.5,181.8,78.9,0.163,6,23.4,87.1,-0.17,south,50,dry,autumn,10.123
R006,A0218,female,18.8,166.9,59.8,0.179,5,30.8,49.7,0.85,sw,50,wet,summer,11.832
R006,A0208,female,26.0,168.9,60.4,0.166,1,27.7,80.2,-0.51,south,200,dry,summer,11.424
R006,A0117,female,22.3,169.2,63.9,0.166,1,23.4,69.7,-0.73,ne,400,dry,summer,11.186
R006,A0093,female,27.8,167.1,60.7,0.181,1,27.6,67.0,-0.29,sw,800,dry,summer,10.946
R006,A0232,male,24.6,171.3,72.0,0.139,2,17.0,46.2,0.06,ne,50,dry,spring,9.889
R006,A0029,male,21.2,181.0,74.3,0.19,2,22.6,75.8,1.66,ne,800,wet,autumn,10.143
R006,A0025,male,27.8,175.8,78.8,0.207,2,16.9,63.2,0.18,north,0,synthetic,autumn,10.049
R006,A0082,female,19.6,172.5,63.6,0.183,8,17.6,70.2,0.68,north,100,dry,autumn,11.071
R006,A0024,male,22.5,177.1,66.2,0.173,2,20.0,85.1,1.46,sw,400,dry,spring,9.884
R006,A0267,female,23.1,174.0,59.3,0.151,7,21.6,86.0,-0.01,ne,1600,dry,autumn,11.486
R006,A0039,female,23.1,171.8,60.2,0.175,5,20.5,40.7,-0.26,se,0,wet,autumn,11.241
R006,A0164,male,22.6,178.6,70.0,0.166,1,12.0,38.9,1.62,nw,0,dry,spring,9.944
R006,A0128,female,22.6,167.7,61.0,0.16,1,32.1,81.2,-0.31,west,0,synthetic,summer,11.568
R006,A0022,male,27.1,185.9,88.0,0.18,6,19.2,63.1,-1.11,east,800,synthetic,spring,10.015
R006,A0059,male,23.4,184.1,72.2,0.166,4,25.6,83.8,-0.31,south,0,heavy,summer,10.314
R006,A0029,male,21.2,181.0,74.3,0.16,2,21.5,76.9,-0.54,south,100,synthetic,summer,10.36
R006,A0009,female,25.5,166.5,59.6,0.176,8,16.0,78.5,-0.98,se,50,wet,spring,11.662
R006,A0075,female,20.7,164.5,61.1,0.205,4,31.9,40.9,-1.45,ne,200,synthetic,summer,11.105
R006,A0293,female,21.7,162.8,47.9,0.158,4,21.9,89.4,1.16,ne,1600,dry,spring,11.24
R006,A0029,male,21.2,181.0,74.3,0.181,3,16.8,53.8,-0.2,nw,100,dry,autumn,10.297
R006,A0130,male,28.6,186.6,71.3,0.173,7,22.2,62.3,0.12,nw,100,dry,spring,10.126
R006,A0162,female,24.8,172.2,59.6,0.162,4,26.4,64.4,-0.55,ne,0,wet,summer,11.76
R006,A0186,female,23.5,166.5,57.5,0.163,2,20.8,48.7,0.78,south,100,dry,autumn,10.674
R006,A0255,male,22.1,185.2,72.7,0.199,8,22.7,87.7,0.26,east,800,synthetic,spring,10.235
R006,A0211,male,18.0,185.4,74.6,0.157,5,20.2,60.0,-0.28,sw,0,heavy,spring,10.558
R006,A0097,male,25.9,187.8,72.6,0.207,7,21.1,46.6,1.14,ne,100,dry,spring,10.228
R006,A0269,male,26.8,185.0,76.8,0.17,1,18.0,73.6,0.05,ne,200,dry,spring,10.337
R006,A0241,female,24.9,161.1,62.6,0.156,6,32.2,67.2,-0.35,sw,200,dry,summer,11.277
R006,A0150,male,22.2,182.1,80.7,0.175,1,29.2,70.0,-0.02,east,0,dry,summer,10.07
R006,A0183,female,22.9,168.1,52.8,0.164,3,19.0,86.0,-1.04,east,1200,dry,spring,11.306
R007,A0247,male,33.2,187.5,80.0,0.166,1,17.2,88.1,0.18,west,1600,synthetic,spring,10.139
R007,A0091,male,21.5,180.7,73.9,0.199,7,17.4,63.0,-0.17,ne,0,synthetic,spring,10.103
R007,A0174,male,25.9,182.0,70.2,0.168,2,17.8,46.4,0.11,north,0,synthetic,autumn,10.165
R007,A0152,male,22.4,179.8,75.3,0.186,6,22.9,43.1,0.47,east,200,wet,spring,10.375
R007,A0087,female,24.4,163.8,59.2,0.18,8,20.2,37.0,-1.02,west,800,synthetic,spring,11.434
R007,A0214,male,26.0,184.4,77.1,0.171,3,19.8,55.7,-1.16,se,200,wet,autumn,10.205
R007,A0002,female,19.4,170.3,58.8,0.156,1,20.9,62.4,1.9,nw,200,dry,summer,11.097
R007,A0225,male,23.7,179.9,75.8,0.174,5,25.9,68.4,0.4,north,1600,dry,summer,10.137
R007,A0185,male,28.7,176.7,76.5,0.158,5,12.0,76.4,0.12,sw,100,wet,autumn,10.146
R007,A0039,female,23.1,171.8,60.2,0.175,3,19.3,39.3,0.16,west,0,wet,autumn,11.254
R007,A0015,male,22.6,181.4,72.4,0.159,7,16.2,74.3,0.6,sw,800,dry,spring,10.048
R007,A0016,male,22.0,192.3,77.9,0.17,1,26.6,81.9,-0.91,se,100,synthetic,summer,10.218
R007,A0186,female,23.5,166.5,57.5,0.172,1,30.2,62.1,-0.29,ne,800,dry,summer,10.78
